video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url
rcfwHLXefMs,I Got 13 DESIGNER Wedding Dresses for FREE / GIVING THEM AWAY  🔴 LIVE STREAM 🔴,13-11-2022,01:58:20Z,763164,18403,2386,PT45M3S,7260000,2703,45,Full Video,https://i.ytimg.com/vi/rcfwHLXefMs/hqdefault.jpg
1dhmD8YQ5i4,RUTHLESS REVIEW of SKIMS Dresses,05-11-2022,14:30:00Z,4357393,85518,3089,PT9M32S,7260000,572,10,Full Video,https://i.ytimg.com/vi/1dhmD8YQ5i4/hqdefault.jpg
iqh4RVCR6vc,"I Bought from Amazon ""Luxury""",29-10-2022,14:30:08Z,3184796,90918,8848,PT11M45S,7260000,705,12,Full Video,https://i.ytimg.com/vi/iqh4RVCR6vc/hqdefault.jpg
RZMfGGS_EhU,I Bought Unrealistic Pinterest Outfits for CHEAP,22-10-2022,14:30:10Z,7648666,145008,3437,PT11M36S,7260000,696,12,Full Video,https://i.ytimg.com/vi/RZMfGGS_EhU/hqdefault.jpg
pHmgogFU7XM,Customizing an HERMES Bag & GIVING IT AWAY! 🔴 LIVE STREAM 🔴,20-10-2022,01:34:38Z,541299,9462,1208,PT1H23M27S,7260000,5007,83,Full Video,https://i.ytimg.com/vi/pHmgogFU7XM/hqdefault.jpg
_sg9D-j9pgg,I Bought the 10 most VIRAL Tiktok Products,16-10-2022,14:30:07Z,8952819,131954,5778,PT11M11S,7260000,671,11,Full Video,https://i.ytimg.com/vi/_sg9D-j9pgg/hqdefault.jpg
R4N2U76nct4,I Bought Celebrity Wedding Dress Remakes for CHEAP,09-10-2022,14:30:05Z,3537700,79980,2732,PT10M26S,7260000,626,10,Full Video,https://i.ytimg.com/vi/R4N2U76nct4/hqdefault.jpg
ZzLECZS2taQ,Rating YOUTUBER's Products,24-09-2022,14:30:13Z,4265021,77455,4819,PT12M30S,7260000,750,12,Full Video,https://i.ytimg.com/vi/ZzLECZS2taQ/hqdefault.jpg
Qw5r_pJvP0Q,I Bought Custom VIRAL Tiktok Dresses,18-09-2022,14:30:04Z,7442585,133925,3554,PT9M1S,7260000,541,9,Full Video,https://i.ytimg.com/vi/Qw5r_pJvP0Q/hqdefault.jpg
5ySYGZztn4w,I Bought MINI PRODUCTS that Actually Work,11-09-2022,14:30:01Z,8638322,113766,5669,PT9M30S,7260000,570,10,Full Video,https://i.ytimg.com/vi/5ySYGZztn4w/hqdefault.jpg
9zwciSGkr5U,I Bought Unrealistic Pinterest Dresses for CHEAP,04-09-2022,15:30:01Z,5499603,119764,4032,PT10M20S,7260000,620,10,Full Video,https://i.ytimg.com/vi/9zwciSGkr5U/hqdefault.jpg
IrfSrjlxWts,I Shopped Kim Kardashian’s Closet for YOU 🔴 LIVE STREAM 🔴,01-09-2022,00:50:17Z,666521,20457,2849,PT46M25S,7260000,2785,46,Full Video,https://i.ytimg.com/vi/IrfSrjlxWts/hqdefault.jpg
OTxX5Zhf9vw,I Opened a $0.01 Yard Sale of LOST CARGO,28-08-2022,15:30:04Z,4684893,95493,6406,PT8M54S,7260000,534,9,Full Video,https://i.ytimg.com/vi/OTxX5Zhf9vw/hqdefault.jpg
OwgGfsV11Lk,I Bought LOST CARGO and RETURNED it to the Owner,25-08-2022,15:30:11Z,4423589,241364,597,PT54S,7260000,54,1,Shorts,https://i.ytimg.com/vi/OwgGfsV11Lk/hqdefault.jpg
UsakMDj9FOs,I Bought a TRUCKLOAD of LOST CARGO Packages,21-08-2022,15:30:05Z,12467912,181206,8949,PT14M38S,7260000,878,15,Full Video,https://i.ytimg.com/vi/UsakMDj9FOs/hqdefault.jpg
8j-FzxIJkkY,I Bought the 5 Most VIRAL Tiktok Products,06-08-2022,13:30:02Z,8864491,129597,4816,PT10M40S,7260000,640,11,Full Video,https://i.ytimg.com/vi/8j-FzxIJkkY/hqdefault.jpg
