video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Wednesday,Year,Month,Day
#NAME?,I Shopped at SECRET STORES,2024-08-17,14:30:00Z,3315883,70689,4045.0,PT20M13S,7260000,1213,20,Full Video,https://i.ytimg.com/vi/-YpaSnU1EDI/hqdefault.jpg,0,1,0,0,0,0,2024,8,17
ABRaUlJBcsY,VINTAGE Preppy vs NEW Preppy,2024-08-03,14:30:07Z,6178853,85060,9566.0,PT27M35S,7260000,1655,28,Full Video,https://i.ytimg.com/vi/ABRaUlJBcsY/hqdefault.jpg,0,0,0,0,0,0,2024,8,3
u9Egtt1g3gk,I SHRUNK Everything in my Kitchen,2024-07-29,14:30:17Z,2579464,82085,649.0,PT39S,7260000,39,1,Shorts,https://i.ytimg.com/vi/u9Egtt1g3gk/hqdefault.jpg,1,0,0,0,0,0,2024,7,29
lWPhEDwdPEs,I Bought the World's RAREST Fashion,2024-07-27,14:30:17Z,3033049,75847,3408.0,PT13M47S,7260000,827,14,Full Video,https://i.ytimg.com/vi/lWPhEDwdPEs/hqdefault.jpg,0,1,0,0,0,0,2024,7,27
V3RDqRwkUho,Customizing CROCS & Giving Them Away!  🔴 LIVE STREAM 🔴,2024-07-20,00:34:57Z,546122,9184,2332.0,PT1H21M47S,7260000,4907,82,Full Video,https://i.ytimg.com/vi/V3RDqRwkUho/hqdefault.jpg,0,1,0,0,0,0,2024,7,20
qN9dL5IMHuA,Styling my 6 WEIRDEST CROCS,2024-07-15,12:45:05Z,5529725,165743,859.0,PT14S,7260000,14,0,Shorts,https://i.ytimg.com/vi/qN9dL5IMHuA/hqdefault.jpg,1,0,0,0,0,0,2024,7,15
pM2RIFs78pY,I Created GIANT BEAUTY PRODUCTS that ACTUALLY WORK,2024-07-13,14:30:17Z,8617057,102834,7807.0,PT21M11S,7260000,1271,21,Full Video,https://i.ytimg.com/vi/pM2RIFs78pY/hqdefault.jpg,0,1,0,0,0,0,2024,7,13
ouBhzqQmheg,I Bought EVERY CROCS,2024-07-06,14:30:30Z,7450064,105518,5841.0,PT29M59S,7260000,1799,30,Full Video,https://i.ytimg.com/vi/ouBhzqQmheg/hqdefault.jpg,0,0,0,0,0,0,2024,7,6
3NiLj-Dt6Qc,Pink hair is BACK 💖,2024-07-02,14:30:01Z,1382611,63480,1258.0,PT7S,7260000,7,0,Shorts,https://i.ytimg.com/vi/3NiLj-Dt6Qc/hqdefault.jpg,0,0,0,0,0,1,2024,7,2
hLKyJvD3dd0,I Bought TIKTOK SHOP vs TEMU Lost Mail,2024-06-29,14:30:13Z,5843385,94571,4177.0,PT24M13S,7260000,1453,24,Full Video,https://i.ytimg.com/vi/hLKyJvD3dd0/hqdefault.jpg,0,1,0,0,0,0,2024,6,29
VpNq1VmOuvY,Testing Viral Tiktok Art Hacks! 🔴 LIVE STREAM 🔴,2024-06-22,00:13:55Z,1540094,16661,4448.0,PT1H6M57S,7260000,4017,67,Full Video,https://i.ytimg.com/vi/VpNq1VmOuvY/hqdefault.jpg,0,1,0,0,0,0,2024,6,22
Oxq5K1O1Q2A,I went on an UNREALISTIC PINTEREST VACATION (again),2024-06-15,14:30:14Z,7554709,121972,5744.0,PT25M45S,7260000,1545,26,Full Video,https://i.ytimg.com/vi/Oxq5K1O1Q2A/hqdefault.jpg,0,1,0,0,0,0,2024,6,15
lTXFKo2xZlA,I Bought Nostalgic MINI PRODUCTS that Actually Work!,2024-06-08,14:30:16Z,3036501,55884,3324.0,PT13M12S,7260000,792,13,Full Video,https://i.ytimg.com/vi/lTXFKo2xZlA/hqdefault.jpg,0,0,0,0,1,0,2024,6,8
eaHdJfoGnsw,I SHRUNK my MAKEUP,2024-06-03,20:46:14Z,2447859,103590,440.0,PT36S,7260000,36,1,Shorts,https://i.ytimg.com/vi/eaHdJfoGnsw/hqdefault.jpg,0,0,0,0,0,1,2024,6,3
JrPszMN8Bhk,How many DRUNK ELEPHANT Samples = Free Skin Care Smoothie,2024-05-31,13:30:08Z,4320494,131365,451.0,PT27S,7260000,27,0,Shorts,https://i.ytimg.com/vi/JrPszMN8Bhk/hqdefault.jpg,0,0,0,0,0,0,2024,5,31
UEdlmCt4L5M,VINTAGE vs NEW Products from Our Childhood,2024-05-25,14:30:10Z,13001046,189392,15039.0,PT32M20S,7260000,1940,32,Full Video,https://i.ytimg.com/vi/UEdlmCt4L5M/hqdefault.jpg,0,1,0,0,0,0,2024,5,25
FFOg9qbfDAg,How many Makeup SAMPLES = BIG bottle?,2024-05-17,12:30:09Z,16062375,612975,497.0,PT24S,7260000,24,0,Shorts,https://i.ytimg.com/vi/FFOg9qbfDAg/hqdefault.jpg,0,0,0,0,0,0,2024,5,17
D07mZbkOmnw,Opening DISCONTINUED TOYS From Our Childhood! 🔴 Mystery Box LIVE 🔴,2024-05-15,01:17:01Z,2126332,20520,5767.0,PT1H57M25S,7260000,7045,117,Full Video,https://i.ytimg.com/vi/D07mZbkOmnw/hqdefault.jpg,0,0,0,0,0,1,2024,5,15
r9vZItoI7yI,I Tested BEST vs WORST Selling SEPHORA Products,2024-05-11,14:30:18Z,5847994,72828,3868.0,PT26M6S,7260000,1566,26,Full Video,https://i.ytimg.com/vi/r9vZItoI7yI/hqdefault.jpg,0,0,0,0,1,0,2024,5,11
XS93uKqO7Mg,I Found the REAL version of SCAM DRESSES (pt 2),2024-05-04,14:30:11Z,9219251,159590,5999.0,PT20M43S,7260000,1243,21,Full Video,https://i.ytimg.com/vi/XS93uKqO7Mg/hqdefault.jpg,0,0,0,0,0,0,2024,5,4
JKoNitAHHw8,I Bought MINI PRODUCTS that actually work *kitchen edition*,2024-04-27,14:30:06Z,5611925,64590,2451.0,PT16M18S,7260000,978,16,Full Video,https://i.ytimg.com/vi/JKoNitAHHw8/hqdefault.jpg,0,1,0,0,0,0,2024,4,27
71HkDQuoBmY,I Bought LOST LUGGAGE Mystery Boxes! 🔴 LIVE EXPERIENCE 🔴,2024-04-18,00:13:53Z,788794,16676,1236.0,PT57M21S,7260000,3441,57,Full Video,https://i.ytimg.com/vi/71HkDQuoBmY/hqdefault.jpg,0,0,0,1,0,0,2024,4,18
holm2zihw34,I Tested TIKTOK SHOP vs AMAZON identical products,2024-04-14,14:30:19Z,6077517,93565,3540.0,PT22M49S,7260000,1369,23,Full Video,https://i.ytimg.com/vi/holm2zihw34/hqdefault.jpg,0,0,1,0,0,0,2024,4,14
